2017-12-31 13:09:44 INFO  TC001_VerifyLoginWithInvalidCredentials:27 - ----------------Starting verifyLoginWithInvalidCredentials Test-------------------
2017-12-31 13:09:47 INFO  TC001_VerifyLoginWithInvalidCredentials:39 - Clicked on sign in and object is : [[ChromeDriver: chrome on XP (21934fd5da86ce144f6ef2e0acc63309)] -> xpath: .//*[@id='header']/div[2]/div/div/nav/div[1]/a]
2017-12-31 13:09:48 INFO  TC001_VerifyLoginWithInvalidCredentials:41 - Enter email address test@gmail.com and object is : [[ChromeDriver: chrome on XP (21934fd5da86ce144f6ef2e0acc63309)] -> xpath: .//*[@id='email']]
2017-12-31 13:09:48 INFO  TC001_VerifyLoginWithInvalidCredentials:43 - Enter passwordpassword123 and object is : [[ChromeDriver: chrome on XP (21934fd5da86ce144f6ef2e0acc63309)] -> xpath: .//*[@id='passwd']]
2017-12-31 13:09:50 INFO  TC001_VerifyLoginWithInvalidCredentials:45 - Clicked on submit button and the object is : [[ChromeDriver: chrome on XP (21934fd5da86ce144f6ef2e0acc63309)] -> id: SubmitLogin]
2017-12-31 13:09:50 INFO  TC001_VerifyLoginWithInvalidCredentials:33 - ----------------Finished verifyLoginWithInvalidCredentials Test-------------------
2017-12-31 15:32:17 INFO  TC002_verifyRegistration:26 - ----------------Starting verifyLoginWithInvalidCredentials Test-------------------
2017-12-31 15:32:18 INFO  TC001_VerifyLoginWithInvalidCredentials:101 - Enter First Name and object is : Test
2017-12-31 15:32:19 INFO  TC001_VerifyLoginWithInvalidCredentials:104 - Enter Last Name and object is : lastName
2017-12-31 15:32:19 INFO  TC001_VerifyLoginWithInvalidCredentials:108 - Enter Address and object is : address
2017-12-31 15:32:20 INFO  TC001_VerifyLoginWithInvalidCredentials:112 - Enter Email Address and object is : emailAddress@gmail.com
2017-12-31 15:32:21 INFO  TC001_VerifyLoginWithInvalidCredentials:116 - Enter Phone Number and object is : 155151
2017-12-31 15:32:21 INFO  TC001_VerifyLoginWithInvalidCredentials:119 - Select gender and object is : [[ChromeDriver: chrome on XP (b67a9064d5849e9ee110f3e4a56c82fa)] -> xpath: //*[@id='basicBootstrapForm']/div[5]/div/label[1]/input]
2017-12-31 15:32:22 INFO  TC001_VerifyLoginWithInvalidCredentials:122 - Select Country and object is : [[ChromeDriver: chrome on XP (b67a9064d5849e9ee110f3e4a56c82fa)] -> xpath: //*[@id='countries']/option[@value='India']]
2017-12-31 15:32:22 INFO  TC001_VerifyLoginWithInvalidCredentials:125 - Select Year and object is : [[ChromeDriver: chrome on XP (b67a9064d5849e9ee110f3e4a56c82fa)] -> xpath: //*[@id='yearbox']/option[@value='1992']]
2017-12-31 15:32:22 INFO  TC001_VerifyLoginWithInvalidCredentials:127 - Select month and object is : [[ChromeDriver: chrome on XP (b67a9064d5849e9ee110f3e4a56c82fa)] -> xpath: .//*[@id='basicBootstrapForm']/div[11]/div[2]/select/option[@value='4']]
2017-12-31 15:32:22 INFO  TC001_VerifyLoginWithInvalidCredentials:129 - Select date and object is : [[ChromeDriver: chrome on XP (b67a9064d5849e9ee110f3e4a56c82fa)] -> xpath: //*[@id='daybox']/option[@value='30']]
2017-12-31 15:32:23 INFO  TC001_VerifyLoginWithInvalidCredentials:133 - Enter paassword and object is : Password@123
2017-12-31 15:32:23 INFO  TC001_VerifyLoginWithInvalidCredentials:137 - Enter paassword and object is : Password@123
